Pillow, 7.1.0, HPND
cycler, 0.10.0, BSD
joblib, 0.13.2, BSD
kiwisolver, 1.1.0, BSD
matplotlib, 3.2.0, "Python Software Foundation License"
numpy, 1.18.1, BSD
pyparsing, 2.4.6, MIT
python-dateutil, 2.6.0, "Simplified BSD"
scikit-learn, 0.22.2, "New BSD"
scipy, 1.4.1, BSD
setuptools, 46.0.0, MIT
six, 1.11.0, MIT
tqdm, 4.43.0, "MPLv2.0, MIT Licences"
